05/21/19 13:47:51:520 | [INFO] |  |  |  | AGSService |  |  | 724 | AGSSerice Main ...6.3.0.73
05/21/19 16:39:10:235 | [INFO] |  |  |  | AGMService |  |  | 81902 | Handling SIGTERM, stopping AGMService 

05/21/19 19:09:02:126 | [INFO] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 168678 | AdobeGCInvokerUtility : inside getLatestGCApplication
05/21/19 19:09:02:127 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 168678 | ***********AdobeGC Updater library invoked = 6.3.0.73 ************
05/21/19 19:09:02:127 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 168678 | Perform WF started
05/21/19 19:09:02:127 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 168678 | Perform WF completed
05/21/19 19:09:02:127 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 168678 | AdobeGCInvokerUtility :inside waitForCFUCallBack.
05/21/19 19:09:02:127 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 168852 | Trying to acquire the semaphore
05/21/19 19:09:02:127 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 168852 | Semaphore acquired
05/21/19 19:09:02:127 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 168852 | Threaded CFU Started
05/21/19 19:09:02:127 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 168852 | Get client install path Started
05/21/19 19:09:02:127 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 168852 | Get client install path Ended
05/21/19 19:09:02:127 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 168852 | Client sanitization started
05/21/19 19:09:02:127 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 168852 | Invoked VerifyCodeSign for app: /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
05/21/19 19:09:07:187 | [INFO] |  |  |  | AGMService |  |  | 168682 | Initializing Directory Watcher.
05/21/19 19:09:07:188 | [INFO] |  |  |  | AGMService |  |  | 168682 | Stream created for path /Library/Application Support/Adobe
05/21/19 19:09:07:190 | [INFO] |  |  |  | AGMService |  |  | 169204 | Process Creation Monitoring enabled...
05/21/19 19:09:10:060 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 168852 | Status returned is 0 
05/21/19 19:09:10:060 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 168852 | Code signature is OK. 
